LeMond,FW 0.34,HW 1.0,STN,140322,08:26
TIME,SPEED,DIST,POWER,HEART RATE,RPM,CALORIES,TORQUE,TARGET HR
00:00:01, 13.9,  0.0,47,0,62,0,7,0
00:00:02, 13.9,  0.0,46,0,62,0,7,0
00:00:03, 14.2,  0.0,46,0,63,0,6,0
00:00:04, 14.8,  0.0,47,0,66,0,6,0
00:00:05, 14.6,  0.0,49,0,65,0,7,0
00:00:06, 14.4,  0.0,48,0,64,0,7,0
00:00:07, 14.4,  0.0,47,0,64,0,7,0
00:00:08, 14.4,  0.0,47,0,64,0,7,0
00:00:09, 14.4,  0.0,47,0,64,0,7,0
00:00:10, 14.2,  0.0,47,0,63,0,7,0
00:00:11, 13.9,  0.0,47,0,62,0,7,0
00:00:12, 13.9,  0.0,46,0,62,0,7,0
00:00:13, 14.2,  0.1,46,0,63,0,6,0
00:00:14, 14.6,  0.1,47,0,65,0,6,0
00:00:15, 14.6,  0.1,48,0,65,0,7,0
00:00:16,  9.9,  0.1,48,0,44,0,10,0
00:00:17, 13.0,  0.1,30,0,58,0,4,0
00:00:18, 14.2,  0.1,42,0,63,0,6,0
00:00:19, 14.4,  0.1,47,0,64,1,7,0
00:00:20, 14.4,  0.1,47,0,64,1,7,0
00:00:21, 14.2,  0.1,47,0,63,1,7,0
00:00:22, 14.2,  0.1,47,0,63,1,7,0
00:00:23, 14.6,  0.1,47,0,65,1,6,0
00:00:24, 14.4,  0.1,48,0,64,1,7,0
00:00:25, 14.4,  0.1,47,0,64,1,7,0
00:00:26, 14.4,  0.1,47,0,64,1,7,0
00:00:27, 14.4,  0.1,47,0,64,1,7,0
00:00:28, 14.4,  0.1,47,0,64,1,7,0
00:00:29, 14.4,  0.1,47,0,64,1,7,0
00:00:30, 14.4,  0.1,47,0,64,1,7,0
00:00:31, 14.2,  0.1,47,0,63,1,7,0
00:00:32, 13.9,  0.1,47,0,62,1,7,0
00:00:33, 13.9,  0.1,46,0,62,1,7,0
00:00:34, 13.9,  0.1,46,0,62,1,7,0
00:00:35, 13.9,  0.1,46,0,62,1,7,0
00:00:36, 14.2,  0.1,46,0,63,1,6,0
00:00:37, 14.2,  0.1,47,0,63,1,7,0
00:00:38, 14.4,  0.1,47,0,64,2,7,0
00:00:39, 14.4,  0.2,47,0,64,2,7,0
00:00:40, 14.6,  0.2,47,0,65,2,6,0
00:00:41, 14.8,  0.2,48,0,66,2,6,0
00:00:42, 14.8,  0.2,49,0,66,2,7,0
00:00:43, 14.8,  0.2,49,0,66,2,7,0
00:00:44, 14.6,  0.2,49,0,65,2,7,0
00:00:45, 14.6,  0.2,48,0,65,2,7,0
00:00:46, 14.4,  0.2,48,0,64,2,7,0
00:00:47, 14.6,  0.2,47,0,65,2,6,0
00:00:48, 15.3,  0.2,48,0,68,2,6,0
00:00:49, 15.1,  0.2,51,0,67,2,7,0
00:00:50, 14.8,  0.2,50,0,66,2,7,0
00:00:51, 14.6,  0.2,49,0,65,2,7,0
00:00:52, 14.6,  0.2,48,0,65,2,7,0
00:00:53, 14.8,  0.2,48,0,66,2,6,0
00:00:54, 15.1,  0.2,49,0,67,2,6,0
