LeMond,FW 0.34,HW 1.0,STN,140611,08:34
TIME,SPEED,DIST,POWER,HEART RATE,RPM,CALORIES,TORQUE,TARGET HR
00:00:01,  0.0,  0.0,60,112,0,0,0,110
00:00:02, 12.6,  0.0,60,112,56,0,10,110
00:00:03, 15.3,  0.0,59,113,68,0,8,110
00:00:04, 16.0,  0.0,58,113,71,0,7,110
00:00:05, 15.1,  0.0,57,114,67,0,8,110
00:00:06, 12.6,  0.0,56,114,56,0,9,110
00:00:07, 13.9,  0.0,55,114,62,0,8,110
00:00:08, 14.4,  0.0,54,114,64,0,8,110
00:00:09, 15.1,  0.0,53,114,67,0,7,110
00:00:10, 15.1,  0.0,52,114,67,0,7,110
00:00:11, 15.1,  0.0,51,113,67,0,7,110
00:00:12, 11.0,  0.0,50,113,49,0,9,110
00:00:13, 13.5,  0.0,51,113,60,0,8,110
00:00:14, 14.6,  0.1,51,114,65,0,7,110
00:00:15, 15.1,  0.1,50,114,67,0,7,110
00:00:16, 15.1,  0.1,49,115,67,1,6,110
00:00:17, 15.1,  0.1,47,117,67,1,6,110
00:00:18, 15.1,  0.1,45,117,67,1,6,110
00:00:19, 15.5,  0.1,43,121,69,1,5,110
00:00:20, 15.8,  0.1,40,121,70,1,5,110
00:00:21, 15.5,  0.1,40,121,69,1,5,110
00:00:22, 15.5,  0.1,40,121,69,1,5,110
00:00:23, 10.8,  0.1,40,121,48,1,7,110
00:00:24,  7.6,  0.1,40,119,34,1,11,110
00:00:25, 11.7,  0.1,40,117,52,1,7,110
00:00:26, 12.4,  0.1,40,117,55,1,6,110
00:00:27, 13.0,  0.1,40,115,58,1,6,110
00:00:28, 13.5,  0.1,40,113,60,1,6,110
00:00:29, 13.9,  0.1,40,113,62,1,6,110
00:00:30, 14.4,  0.1,41,112,64,1,6,110
00:00:31, 14.4,  0.1,40,112,64,1,5,110
00:00:32, 14.4,  0.1,41,111,64,1,6,110
00:00:33, 14.4,  0.1,40,113,64,1,5,110
00:00:34, 14.2,  0.1,40,113,63,1,6,110
00:00:35, 14.2,  0.1,40,115,63,1,6,110
00:00:36, 14.4,  0.1,40,115,64,1,5,110
00:00:37, 14.4,  0.1,41,115,64,2,6,110
00:00:38, 13.9,  0.1,40,116,62,2,6,110
00:00:39, 13.7,  0.1,40,118,61,2,6,110
00:00:40, 13.7,  0.2,40,118,61,2,6,110
00:00:41, 13.5,  0.2,40,119,60,2,6,110
00:00:42, 13.7,  0.2,40,119,61,2,6,110
00:00:43, 13.9,  0.2,40,119,62,2,6,110
00:00:44, 13.9,  0.2,40,119,62,2,6,110
00:00:45, 14.4,  0.2,40,119,64,2,5,110
00:00:46, 14.6,  0.2,40,119,65,2,5,110
00:00:47, 14.6,  0.2,40,119,65,2,5,110
00:00:48, 14.6,  0.2,40,118,65,2,5,110
00:00:49, 14.6,  0.2,40,118,65,2,5,110
00:00:50, 14.8,  0.2,40,117,66,2,5,110
00:00:51, 14.8,  0.2,40,117,66,2,5,110
00:00:52, 14.8,  0.2,40,117,66,2,5,110
00:00:53, 14.8,  0.2,40,117,66,2,5,110
00:00:54, 14.8,  0.2,40,117,66,2,5,110
00:00:55, 15.1,  0.2,40,117,67,2,5,110
00:00:56, 15.3,  0.2,40,117,68,2,5,110
00:00:57, 15.8,  0.2,40,117,70,2,5,110
00:00:58, 16.4,  0.2,40,118,73,2,5,110
00:00:59, 16.4,  0.2,40,120,73,3,5,110
00:01:00, 16.2,  0.2,40,120,72,3,5,110
00:01:01, 15.8,  0.2,40,120,70,3,5,116
00:01:02, 16.0,  0.2,41,120,71,3,5,116
00:01:03, 16.4,  0.2,40,120,73,3,5,116
00:01:04, 16.4,  0.3,40,120,73,3,5,116
00:01:05, 16.4,  0.3,42,118,73,3,5,116
00:01:06, 16.0,  0.3,41,118,71,3,5,116
00:01:07, 16.0,  0.3,40,117,71,3,5,116
00:01:08, 16.2,  0.3,40,117,72,3,5,116
00:01:09, 16.4,  0.3,40,117,73,3,5,116
00:01:10, 16.2,  0.3,40,118,72,3,5,116
00:01:11, 16.2,  0.3,40,120,72,3,5,116
00:01:12, 16.2,  0.3,40,120,72,3,5,116
00:01:13, 16.0,  0.3,40,121,71,3,5,116
00:01:14, 16.0,  0.3,40,120,71,3,5,116
00:01:15, 16.2,  0.3,40,120,72,3,5,116
00:01:16, 16.4,  0.3,40,118,73,3,5,116
00:01:17, 16.4,  0.3,41,117,73,3,5,116
00:01:18, 16.2,  0.3,42,117,72,3,5,116
00:01:19, 16.4,  0.3,41,117,73,3,5,116
00:01:20, 16.6,  0.3,41,117,74,4,5,116
00:01:21, 16.6,  0.3,42,117,74,4,5,116
00:01:22, 16.6,  0.3,42,117,74,4,5,116
00:01:23, 16.4,  0.3,41,117,73,4,5,116
